datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-09-11,0.0,0.0,0.0,0.0,14116.677851199493,0.0,90681.13696238957,208.25599999999997,104797.81481358907,-0.00017679741603282562,1.0479781481358914,0.027824230078954626
2017-09-12,0.0,0.0,0.0,0.0,13974.579371949318,0.0,90681.13696238957,208.25599999999997,104655.7163343389,-0.0013559297920756608,1.0465571633433897,0.02924521487145637
2017-09-13,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,-6.161154140305047e-05,1.0464926833433896,0.029309694871456404
2017-09-14,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-15,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-18,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-19,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-20,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-22,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-25,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.0,104649.26833433889,214.70399999999998,104649.26833433889,0.0,1.0464926833433896,0.029309694871456404
